113Z :acc 0.6916 , nmi 0.3637 , ari 0.4055 , f1 0.6220
113P :acc 0.7773 , nmi 0.5717 , ari 0.5781 , f1 0.6516
114Q :acc 0.8019 , nmi 0.5887 , ari 0.6074 , f1 0.6429
114Z :acc 0.6909 , nmi 0.3638 , ari 0.4055 , f1 0.6211
114P :acc 0.7775 , nmi 0.5722 , ari 0.5785 , f1 0.6518
115Q :acc 0.8022 , nmi 0.5900 , ari 0.6081 , f1 0.6432
115Z :acc 0.6923 , nmi 0.3646 , ari 0.4065 , f1 0.6227
115P :acc 0.7776 , nmi 0.5724 , ari 0.5788 , f1 0.6519
116Q :acc 0.8018 , nmi 0.5888 , ari 0.6077 , f1 0.6429
116Z :acc 0.6907 , nmi 0.3649 , ari 0.4068 , f1 0.6207
116P :acc 0.7770 , nmi 0.5719 , ari 0.5779 , f1 0.6515
117Q :acc 0.8022 , nmi 0.5901 , ari 0.6087 , f1 0.6433
